lat,lon,name,near_bachelors,near_business,near_emp_full_time,near_emp_pay,near_employed,near_employment,near_entertainment,near_family,near_finance,near_foreign_born,near_hospitality,near_house_w_child,near_household,near_hunits,near_hunits_attached,near_hunits_detached,near_hunits_large,near_hunits_medium,near_hunits_new,near_hunits_old,near_hunits_owner,near_hunits_renter,near_hunits_vacant,near_labor_force,near_medical,near_pop_child,near_pop_old,near_pop_poor,near_pop_rich,near_population,near_students,near_university,parking,15net_population,30net_population,15net_pop_child,30net_pop_child,15net_pop_old,30net_pop_old,15net_household,30net_household,15net_family,30net_family,15net_house_w_child,30net_house_w_child,15net_bachelors,30net_bachelors,15net_labor_force,30net_labor_force,15net_employed,30net_employed,15net_emp_full_time,30net_emp_full_time,15net_pop_poor,30net_pop_poor,15net_pop_rich,30net_pop_rich,15net_employment,30net_employment,15net_emp_pay,30net_emp_pay,15net_medical,30net_medical,15net_hospitality,30net_hospitality,15net_university,30net_university,15net_finance,30net_finance,15net_business,30net_business,15net_entertainment,30net_entertainment,15net_hunits,30net_hunits,15net_hunits_vacant,30net_hunits_vacant,15net_hunits_detached,30net_hunits_detached,15net_hunits_attached,30net_hunits_attached,15net_hunits_medium,30net_hunits_medium,15net_hunits_large,30net_hunits_large,15net_hunits_old,30net_hunits_old,15net_hunits_new,30net_hunits_new,15net_hunits_owner,30net_hunits_owner,15net_hunits_renter,30net_hunits_renter,15net_foreign_born,30net_foreign_born,15net_students,30net_students
33.945,-84.357,North Springs,1509.5733805951234,1496.1149192078753,1267.2668232863034,463924.5518257999,1665.7725326293523,5181.272905327968,41.258793335913616,761.6507983274885,742.1970364699115,614.9796363119908,197.35419595152894,326.3918298114686,1358.4330320549027,1494.418947339214,139.2490760131171,602.0347611413372,537.2868426101977,207.59131139592444,194.1582361926332,8.747427438989119,763.7639006002211,594.6691314546815,135.98591528431143,1765.3113533639048,4.278127458693942,647.1888037103381,490.1669318274271,612.6793968913408,1517.2081806287956,3137.1698788506114,196.03161471851496,52.91511148273853,1,24966.117053158065,69629.39891216811,4234.726217967029,8881.745215712435,2868.6115125453316,5994.345469811808,12320.652744408024,32169.627262342794,5037.873373368411,11079.766717253015,2145.836681027343,4471.651453032609,13341.518853635054,31407.701029925578,15728.460920635995,41387.08098633151,14824.98565905021,38516.00557309807,11932.878072164114,29887.977646590432,5543.911621639613,18068.849280147617,11984.70422879099,26232.35376107782,59708.70248775797,167726.4122691044,5005456.76918108,13614678.381313715,401.0644488652809,3964.8016097610634,4894.959419317366,15334.017232632992,278.90386998131436,832.4103772361584,8469.628120453383,18080.56659434826,15987.148503289667,46268.95582964291,534.5452185998091,3759.0797738050105,14644.095555434458,38490.03594467868,2323.4428110264334,6320.408682335889,3378.339172869394,7384.118785594293,881.7639254572385,2324.8915448236676,1121.3967543765739,3706.3091628668653,9217.609178494182,24916.1383645432,411.04308625792726,3428.8626923719676,4670.922842492002,12770.020600821063,5099.911020610687,12738.943671204013,7220.741723797335,19430.683591138783,5079.730891506776,11727.774609808044,1909.846677623786,13026.616606189487
33.932,-84.351,Sandy Springs,1528.0687746154279,1361.8602105013715,1288.168941395571,385145.61508361035,1637.3604241397065,4729.478565365549,38.06214611312333,736.7174687738973,559.061464330599,639.5014310252162,282.13919222400017,330.85930481208266,1359.5352880988332,1513.9006236131422,102.10844189224323,567.2410185512206,687.8978564403279,152.06519901310202,330.22601436516663,7.2160846611358345,694.532819810231,665.0024682886022,154.36533551430907,1744.7091132571131,27.291502753737216,661.429652256365,440.6938313187952,552.8486225733848,1529.5445074235668,3088.262877996073,183.58890519722928,35.23202173868453,1,24966.117053158065,79058.97378503317,4234.726217967029,10321.059551064649,2868.6115125453316,6681.7134310271185,12320.652744408024,35210.4894337047,5037.873373368411,12238.184559907992,2145.836681027343,4982.531307430427,13341.518853635054,32901.953016112,15728.460920635995,45321.937129030215,14824.98565905021,41822.50780349227,11932.878072164114,32169.696359716574,5543.911621639613,22443.891377046373,11984.70422879099,27155.911719267187,59708.70248775797,184713.80834296413,5005456.76918108,14885294.85564881,401.0644488652809,4355.544856617751,4894.959419317366,16949.133937267285,278.90386998131436,1085.707879601097,8469.628120453383,18979.721621685327,15987.148503289667,51153.94361832363,534.5452185998091,4318.962891356099,14644.095555434458,42441.835491164435,2323.4428110264334,7231.3460574597275,3378.339172869394,8988.598600132393,881.7639254572385,2618.3497753814218,1121.3967543765739,4196.822110182547,9217.609178494182,26441.187649022904,411.04308625792726,4284.298370134566,4670.922842492002,13865.828226611333,5099.911020610687,13771.754431412815,7220.741723797335,21438.73500229189,5079.730891506776,12313.633664101375,1909.846677623786,15810.738797225102
33.922,-84.344,Dunwoody,2695.399778095575,4583.008771014055,2547.6126515376823,1204520.571439391,2931.071263160285,15408.654887442539,22.03173838233262,797.2426191876311,1372.917774840821,1310.8109735825901,1395.293827515287,289.7215264348082,2573.2006158928652,3116.0962082123233,100.1981332680244,185.15524878648196,2689.0906002979227,139.6111598578946,1568.031959078715,5.268578268329696,418.03515048571074,2155.1654654071544,542.8955923194582,3191.8656571558386,0.0,549.7242807109567,318.54031940547713,993.2036201516539,2034.086060132865,4436.551061558663,409.62772153803644,79.06576986454249,1,30414.967585523962,100927.48758391758,4759.763280419224,14463.6958675424,3232.922441978674,8775.47222730732,15384.695490710104,43360.56630190557,5858.396917799322,15616.885695491843,2425.9941982189525,6554.046720154269,16235.948426408644,37232.41462299129,19586.299535733902,55830.2607319629,18528.16631674846,50934.99589732126,14746.191049298684,38585.61736224366,6913.144122267181,33372.668145041825,14458.78721733694,29882.951100904047,70563.56864097058,194080.4302522582,5837395.999383166,15402995.325046154,829.5299855884448,4669.079926595563,5990.860709803973,17570.17800998177,394.2924465726229,2188.481858625631,9387.118889372188,19194.970059111496,19056.448792055686,52416.999254829934,1014.7425059087625,4504.903757844116,18573.3493401819,52979.88681532873,3188.6538494717934,9619.320513423163,3881.7047118644787,13548.983671529037,1083.7022549046503,3440.0816863339323,1439.7239491857754,5789.367661145028,12096.63493888235,29919.181990251884,859.9049928447652,5894.5874130223965,6328.140292529388,16472.86552470764,6425.057915194286,16642.38475556005,8959.637575515817,26718.18154634552,5799.58266328347,14488.375377796969,2832.109715328027,19732.87240508329
33.911,-84.352,Medical Center,1689.8153088001086,686.0347276857533,1499.86319896795,284276.7573284419,1971.992441174713,3645.2946354331957,55.235208504296494,756.3714894512652,402.5887851804623,623.4748884039732,184.6850574234224,352.74539024583726,1529.6351895181715,1681.3797946674586,167.66305626487994,654.0900320318541,661.549175330159,194.14155035549157,330.18461299589694,23.36467050313582,788.9159449853831,740.7192445327884,151.74460514928703,2061.5151275138674,236.47668393782385,752.2401567735332,411.2872607787375,833.2926805604741,1722.5180367899948,3493.0917349634306,205.4097425038977,28.290969561093725,1,35281.03926006513,104590.34418080188,5212.119563557189,15347.44116672186,3566.4326780544343,9160.928702443756,17983.191928852237,44693.30361159067,6521.811330048351,16314.621440845383,2659.7900254446604,6845.346230535539,18634.03900563363,37715.000326392685,22819.878590661443,57598.21142631147,21574.0961313172,52399.121845856236,17091.495221125824,39602.01286632065,8188.908898714393,35572.524888800566,16306.604032284353,30158.503149376247,79595.94532398999,196573.59468804512,6559716.776822199,15574675.186074985,1370.133331537652,4710.118866908362,6858.225830235118,17635.374469567123,468.7120619629175,2280.7144191376206,10091.144898524522,19219.366108901788,21469.45891026714,53200.066637636424,1341.617787120461,4510.859963827203,21722.869244715614,54800.229123887475,3739.677315863378,10106.9255122968,4278.0812278303965,14669.080790749716,1245.4949601022677,3585.681580237763,1795.8308969820037,6010.440441831725,14313.257539319678,30230.95111956456,1349.8388612891767,6220.448783675346,7367.63009805861,16811.29343660869,7424.32411323056,17181.651580858565,10558.867815621676,27511.652030732108,6398.39619488718,14643.33081265431,3785.625408204575,20007.6592547761
33.849,-84.369,Buckhead,2946.86693066088,6807.62519195017,2577.700590277504,2315208.1501901946,3151.171342954642,25419.18836453156,267.02205242533523,964.2511337530641,4848.549919397521,1138.4166331192216,2140.835420314535,416.823597172681,2641.5638564801557,3515.417332507438,127.90212025123246,436.5804331458464,2797.5209948077413,142.7191153735932,1418.6614728213917,133.7110815090502,1154.4047947572233,1487.1590617229324,873.8534760272825,3278.5814498636464,133.0181347150259,757.668732917082,590.7438375703423,1247.54015114889,2616.1912174485683,5148.579016117403,474.6341564327123,73.74325269807464,0,61375.558552847775,129027.09079669538,7701.493714537048,20196.851080890847,5481.732634660045,11704.645636130888,29212.217350697843,54241.20509944716,9949.296902593003,20749.253958122303,3918.8355059226833,8745.405677040215,29230.197409276385,44483.7985873335,37263.53685605605,69900.72866632894,34803.88942833269,63154.2670660607,27268.822087669334,47409.68826770808,14973.306284195174,45930.23826278535,24656.38527213056,35694.949949548114,149381.68279602268,209273.04606930376,12305943.57031057,16225359.04554503,3516.734906114252,4799.520045972906,13439.074668269346,18895.279657839645,708.7504053156232,3175.6611405331996,17086.828624210877,19325.307739476782,40897.50680009284,55403.35988416404,3228.4387808256706,4778.994486370101,35054.17890505213,66905.95292902453,5841.961554354286,12664.747829577378,6435.779793918635,20722.973617152835,2063.779745262641,4715.453259056317,3156.963245922795,7951.2467902299595,23263.40949601537,33131.716838816894,3033.1720768339483,8456.859431995988,11815.086809210045,19366.152135511416,11632.538566924175,21311.58474505131,17579.67878377367,32929.62035439584,10277.531422162827,16083.71945722139,10834.041988336976,23461.390090282766
33.823,-84.37,Lindergh Center,2971.7946808679417,1052.504682930441,2752.265866699103,352381.1233136427,3467.6176549915117,5324.813129657149,110.93527983880776,1021.6398638750654,544.3131402340672,752.5473290637841,694.6517258885933,429.29503255046507,2858.284762363095,3322.8826490948804,244.64309776774144,933.2376792126543,1844.2637090078324,285.26841838056805,829.6605470381985,232.73524387728662,1280.2584099719184,1578.0263523911767,464.59788673178525,3686.4782194816253,0.0,866.474591598754,617.1793316445521,1304.3471503138699,2565.156226367199,5662.462483671882,440.55453723339554,9.656744636180463,1,73381.27340029145,139035.09386981174,9834.739987024674,22632.037514555646,6277.969327822011,12796.397320654602,33469.95388052721,58388.39210859841,11856.711899422504,22903.49674595893,4878.404392108933,9898.568573918079,32279.434672826974,48707.32476676821,43526.08213385361,75220.50602750569,40480.65087198103,68090.72410130582,31245.67599944897,50982.27541288661,19915.124306747035,48870.18364603409,26926.688727462293,39892.901895118914,169650.96349767837,215426.42388162052,13700918.133810515,16448905.174823852,3964.8016097610634,4940.0321833322905,15417.330184657563,19615.328555066186,853.6813921467309,3521.2428642627915,18116.57512921612,19430.772997139826,46428.16864854807,56096.62813708108,3773.4773755607425,4872.150078514569,39951.53048111607,71581.62789159876,6481.576600588857,13193.235783000366,8035.103891904995,23074.696522804166,2440.6678036315534,5178.838865943723,3949.9755932088397,8661.226997982312,25360.690459266705,34250.017445054706,3438.7627730924282,9317.644425356877,12954.973741201118,20109.504301736186,13327.098131744056,23596.6991879127,20142.855748783153,34791.6929206857,13093.575721035912,16888.16120410301,13259.817795779085,24422.22821560772
33.789,-84.387,Arts Center,2894.4295727735894,3069.3002887660177,2813.31297713457,831939.2302020867,3703.180657698249,10854.866153212612,480.1972873089533,820.5235444309112,917.4907689188051,719.8517717766938,1095.901290486607,280.15751719160977,3064.042746302081,3929.253784747441,201.93832944741177,503.3655389950844,2879.0257603881673,318.32719480920156,1657.2174500373862,448.8619065868379,1325.1468945835984,1738.8958517184824,865.2110384453599,3857.8386150979077,428.46553672316384,525.0370624521959,364.31092943334284,1369.2325006275678,2474.0829885459493,5448.850532365897,922.2630377042408,115.38857659130855,0,90950.18033894755,143316.33814526213,12202.082640263456,23712.27190507283,7560.987606150895,13292.72967985595,39342.27136356742,60153.75699012417,13341.572246220969,23841.171979974155,5490.042646454394,10424.710199024941,33323.03882487934,50636.407137147005,50181.23911781978,77434.75914195062,45667.21764166925,70166.71755470533,34672.483244703246,52475.36148605083,30360.865098977683,49977.35167499521,26141.86344646721,41873.47872486801,182245.12755299066,217556.27217445083,14467685.405639945,16525609.339202864,4637.510296383131,5020.30157350399,17007.371669781664,19815.84693689612,2079.063710493635,3715.6407328240703,17857.70302344313,19475.447223151998,49399.811306215524,56444.84170840611,4411.185216639347,4892.461769588729,48510.07270793899,73530.76877154209,9167.801344371577,13377.011781417912,11728.722785525773,24084.93052448146,3082.947909620686,5376.502961118721,5186.044720394028,8935.396465109083,28249.445196477856,34702.269526431985,5868.723820201811,9621.862127597655,15763.528133769783,20405.052816625226,14595.933574609557,24637.97967356966,24746.33778895787,35515.777316554515,11868.093199231893,17283.370920222795,19120.05069557795,24870.736575665327
33.781,-84.386,Midtown,2398.0905792249837,2413.010118211456,2345.304171827142,722320.7774390316,3045.9298145687417,9032.376683019424,326.8752812116986,663.414412249028,704.0260091523354,598.8135316037099,867.365120431145,233.7958272257077,2598.496438142131,3149.519904533716,161.7927051976175,396.37651596591843,2216.6226004373293,356.1069477962282,1039.4898055292217,489.9338684444116,999.2661980362743,1599.2302401058569,551.0234663915847,3233.5790549275384,540.6033459492073,452.35628313796417,333.5102360757602,1275.7647764472124,1847.8168149474143,4866.071674541174,953.5156928765475,74.4196153902946,0,86472.61601125951,143316.33814526213,11779.986839858291,23712.27190507283,7339.500032810316,13292.72967985595,36589.458361773664,60153.75699012417,12498.13462657257,23841.171979974155,5128.939884586548,10424.710199024941,29854.014704523062,50636.407137147005,46489.90216110079,77434.75914195062,42064.34386433465,70166.71755470533,31634.139004396282,52475.36148605083,30110.17994252389,49977.35167499521,23405.658201929833,41873.47872486801,167384.04349402912,217556.27217445083,13345229.358471394,16525609.339202864,4678.5492366959315,5020.30157350399,15542.531151166804,19815.84693689612,2022.711855783396,3715.6407328240703,16467.16836079747,19475.447223151998,45321.09898954525,56444.84170840611,4372.4784057012885,4892.461769588729,45482.03950843762,73530.76877154209,8892.581146663959,13377.011781417912,12002.715264787978,24084.93052448146,2977.7065956750616,5376.502961118721,4933.375823719024,8935.396465109083,25296.592903574794,34702.269526431985,6186.183050942595,9621.862127597655,14219.523401660612,20405.052816625226,14033.004290518249,24637.97967356966,22556.454071255415,35515.777316554515,9649.960263246374,17283.370920222795,18667.211345802738,24870.736575665327
33.772,-84.387,North Avenue,2472.4762265991703,2455.985833742333,2514.4385877578325,857982.6553265803,3299.540369801504,9819.285238832144,368.79076452221597,711.8668496820761,704.197689527844,854.2343997255483,874.1868755474978,224.8762415811403,2848.988969066296,3370.858512106729,184.32548385822318,273.7477136750226,2429.8685353460587,473.74020953990356,1140.0701828101448,613.4984338100845,869.1851794537067,1979.8037896125888,521.8695430404335,3637.4144748377826,746.8196998600268,463.20129017325206,328.78692631773174,1767.8479419652763,1629.3933937493991,6227.028257800167,1880.9678677273687,32.9678899937243,0,91800.0371993102,147666.9232702132,12645.942666825904,24696.02802564162,7843.150970490947,13785.79085898058,38406.30312945959,61876.731894302,13241.373780475249,24765.2751964636,5415.479440072159,10841.238170160372,30652.62582837804,51687.743811190914,48717.960785027055,79629.64499823419,43881.904128823,72050.93423333626,32880.837937125725,53738.65960640712,32744.686828391663,51897.092239847196,23726.37508594806,42917.731490040824,166154.64301294685,218193.43011907482,13143575.019095035,16546061.94117477,4444.3767002235445,5020.30157350399,15711.097291338003,19853.193439354196,2553.7690614090575,3715.7364293133114,16086.728555686224,19488.078863648432,44797.40985937045,56564.11186734523,4420.174677569276,4898.362559619595,48172.59776731595,75583.69759101803,9766.294637856348,13706.965696716032,13636.974781033337,25243.827683117375,3234.162507068283,5541.218944569149,5433.1019116417365,9327.083854158791,25570.18010140342,35029.21764834319,7150.736244529796,9729.789173164696,14738.835806291103,20612.272016824256,14726.06031936288,25566.225908710414,23680.24281009672,36310.505985591575,9446.993979387878,17640.029545125934,19992.64574592967,25139.40867398316
33.767,-84.388,Civic Center,1995.1218939816304,2722.7470279813247,2070.455225630526,899426.0404093106,2752.1927748404805,10076.623727196957,416.16914177194667,599.0109135333572,644.7772587855127,787.7902583981531,919.9761825316621,200.8808603951558,2367.6871266028743,2803.71572054487,153.01226252521417,217.97670662246816,2017.719827911775,407.60878580028526,963.3398882222249,511.65438131078633,722.753252331941,1644.933874270933,436.02859394199595,3068.110361492846,604.2624087441058,420.48201197770175,265.9189657234764,1625.6316330172344,1331.8667397452562,5843.018263024412,2144.7222608402108,34.668585363314826,0,98128.22914529212,147666.9232702132,13937.083122245162,24696.02802564162,8509.334217450483,13785.79085898058,40797.654079682274,61876.731894302,14360.18825465299,24765.2751964636,5890.673081986737,10841.238170160372,31930.58490691257,51687.743811190914,51831.59637751949,79629.64499823419,46500.86809787902,72050.93423333626,34765.18580751566,53738.65960640712,35823.956499780536,51897.092239847196,24605.617866360266,42917.731490040824,172207.20984487006,218193.43011907482,13554672.909438206,16546061.94117477,4531.473731822652,5020.30157350399,15936.967915230804,19853.193439354196,2701.0353817091654,3715.7364293133114,16117.806767698821,19488.078863648432,46570.97952765129,56564.11186734523,4444.597679498188,4898.362559619595,51288.14908757295,75583.69759101803,10490.495007890677,13706.965696716032,15225.497222734073,25243.827683117375,3498.995503558614,5541.218944569149,5891.803101789629,9327.083854158791,26348.011116108482,35029.21764834319,7436.517145245556,9729.789173164696,15508.591305897622,20612.272016824256,15682.863017683389,25566.225908710414,25114.79106199889,36310.505985591575,9918.904628054515,17640.029545125934,20896.39762278085,25139.40867398316
