lat,lon,name,near_bachelors,near_business,near_emp_full_time,near_emp_pay,near_employed,near_employment,near_entertainment,near_family,near_finance,near_foreign_born,near_hospitality,near_house_w_child,near_household,near_hunits,near_hunits_attached,near_hunits_detached,near_hunits_large,near_hunits_medium,near_hunits_new,near_hunits_old,near_hunits_owner,near_hunits_renter,near_hunits_vacant,near_labor_force,near_medical,near_pop_child,near_pop_old,near_pop_poor,near_pop_rich,near_population,near_students,near_university,parking,15net_population,30net_population,15net_pop_child,30net_pop_child,15net_pop_old,30net_pop_old,15net_household,30net_household,15net_family,30net_family,15net_house_w_child,30net_house_w_child,15net_bachelors,30net_bachelors,15net_labor_force,30net_labor_force,15net_employed,30net_employed,15net_emp_full_time,30net_emp_full_time,15net_pop_poor,30net_pop_poor,15net_pop_rich,30net_pop_rich,15net_employment,30net_employment,15net_emp_pay,30net_emp_pay,15net_medical,30net_medical,15net_hospitality,30net_hospitality,15net_university,30net_university,15net_finance,30net_finance,15net_business,30net_business,15net_entertainment,30net_entertainment,15net_hunits,30net_hunits,15net_hunits_vacant,30net_hunits_vacant,15net_hunits_detached,30net_hunits_detached,15net_hunits_attached,30net_hunits_attached,15net_hunits_medium,30net_hunits_medium,15net_hunits_large,30net_hunits_large,15net_hunits_old,30net_hunits_old,15net_hunits_new,30net_hunits_new,15net_hunits_owner,30net_hunits_owner,15net_hunits_renter,30net_hunits_renter,15net_foreign_born,30net_foreign_born,15net_students,30net_students
42.437,-71.071,Oak Grove,2569.7062269295116,90.79570691327456,3468.719367070359,83100.9879208329,5138.96316815106,1933.237889850945,32.53938785988065,2272.2928208497146,63.446158111643776,3534.088406680467,139.81043314031788,1034.859130127987,3719.001324004183,3913.2047881656536,1030.0952148060846,1276.7850029654153,1096.1993296517503,495.4430049077939,284.96264588388976,1992.3342351820916,1751.247530295922,1967.7537937082614,194.20346416147035,5616.440663557512,75.9702725020644,1882.071867060875,1201.5489062739082,2886.487085900936,2927.775079573031,9658.685410219998,945.2242040483925,8.522553279471106,1,69244.97010973375,264547.91034958756,11216.094413821902,36440.67034785263,7727.976070267704,27985.72854977989,29706.59405027813,112788.93259161923,14221.026189875738,47854.22194227027,5995.51316267505,19262.02672570497,24642.49974934183,101185.15617246549,43034.129976875745,154412.80846248046,40124.99024751719,144215.43307475792,28561.154396681013,102253.82493227495,20890.75418961338,85222.98466234583,23438.367558529993,86924.81611127676,60714.309330796765,432613.8547922456,5857851.09727261,43491515.771558955,5169.937286726198,29837.269624307144,4616.893630030517,35875.462467137004,337.9170351824108,21014.398404630672,11576.771245519147,64086.16511178092,11928.15751424199,98919.17311628662,1181.113090636327,8504.080231535165,31780.01134097197,123166.98388569555,2073.417290693839,10378.051294076278,4580.211354532784,8102.801526354717,7517.62449000968,20349.602961833076,10138.994515615894,46547.100332531845,9462.606151281732,47982.42670563438,18028.3020241296,67428.76080866523,2168.8090557670357,12367.648551163475,11299.687595920113,37486.55956972697,18406.906454358017,75302.37302189232,20817.53364937775,76016.54163568767,7087.874877406695,46055.831035118346
42.427,-71.073,Malden Center,2755.2645482388975,104.83996937212864,4180.1527565084225,102128.16079632465,6214.788667687596,2385.0118683001533,18.1228943338438,2700.3112557427257,80.09150076569678,5116.112557427259,177.91615620214395,1225.7312404287902,4474.211332312404,4722.085758039816,1410.6627105666157,1229.238897396631,1391.760336906585,667.4291730474732,349.20673813169986,2370.0068912710567,1825.7354517611027,2648.4758805513015,247.87442572741196,6878.710183767228,0.0,2233.013399693721,1366.6221286370596,4150.532542113323,2816.4536753445636,11833.470520673813,1267.6282542113324,12.276799387442573,1,70477.59918120221,306365.82621553517,11343.66453186953,43360.196676245396,7916.24371996875,31852.692625262567,30287.022658575024,128141.79167231383,14437.182339039593,55250.779106433256,6064.412403203526,22727.43800239499,25248.78561697429,111393.44332854892,43716.0304801885,175914.6787955572,40772.51805949193,163669.90177790515,29024.64362569079,115115.43744284043,21234.2350012879,102193.48875993484,23994.74786515803,94874.5417105065,70772.64608793943,459695.5772196918,7040966.181318905,45181942.83254588,5389.995257740691,34385.417989702815,5348.519031782895,37071.14833944616,660.1931989184527,26400.5411566888,14107.960528769941,64833.39970274999,14196.22252903443,100626.135049182,1356.014451535631,9060.187012498074,32440.290401852293,139865.71422605313,2153.267743277266,11723.922553739265,4582.959103583698,9773.225996128367,7560.579015773189,23767.29175319453,10246.540030621602,52995.1523652868,9969.63742234192,53126.199885525115,18309.967423757273,76052.26141189694,2291.2085422199616,13878.100162376299,11516.224297114566,42158.39889252885,18770.79836146046,85983.392779785,21215.57050276018,88713.31513402026,7339.342124811362,55235.62465122442
42.401,-71.077,Wellington,2934.633754743011,156.41362701708033,4940.956424760836,171236.15701749298,7327.432634712935,3392.1525562927636,41.75327768726844,3016.157458037711,271.0526864842293,4647.735798570827,244.90846305367845,1336.4869002843755,5055.172062205449,5359.34036905268,1898.5137963461648,1101.3535889220836,743.5709448135703,1611.93019623672,217.2876221618975,3424.71989555843,2145.455264126431,2909.716798079018,304.1683068472315,7923.24181371695,134.64675111331655,2534.9258151846384,1528.4720560180635,4333.2693054716865,3304.3845967694547,13513.821228940715,1400.1613750903423,104.19119618624883,1,83642.68799444758,349037.52312949224,12412.254561528958,49277.05686171793,9733.411809338155,36008.305136745985,37208.02544968872,143454.7038374272,16496.23816941435,62276.15256078118,6684.2522815345665,25860.42337825864,32989.37353684824,124890.2818606683,52292.92636928981,196538.20703351236,48970.87339728747,182657.66789588073,35215.48170795509,127760.39308372256,24296.18062826096,115398.70267835748,30513.03528985986,105464.84013184634,151596.87008495445,493404.0802729413,17002128.215779126,47193393.44519201,10453.945254756673,38069.85744380847,10730.598810360298,38577.04142076524,1662.9464224024905,38460.93681327091,34622.7808528381,65291.81054146458,32886.20958545831,102930.8649175121,2887.0027174019224,9751.706866494918,40274.304564517406,156630.05500045157,3066.2791148286824,13175.351163024296,4677.835104253367,11828.042297986342,8053.97376793169,27041.050804206985,12649.287267820127,58332.69912328468,14807.872094166187,59207.81640698014,22004.947427756226,84865.67246505134,3238.6861231915063,14998.550103156833,13706.98327632455,47453.39051811846,23501.042173364174,96001.31331930877,24019.94621107352,100356.31385239563,9292.122895119557,67909.60624604094
42.384,-71.077,Sullivan Square,4956.591807718033,708.7317557219062,5834.1937929774695,261729.63973825466,8175.214175965835,4722.841847121612,80.50552902063701,2898.372944192202,151.54619181609755,4051.623481971806,413.71959002016604,1216.4658160532167,5884.015504408087,6223.140152346888,1828.7973075720217,663.5155771963186,1263.9028910217353,2453.1737790370826,358.3846886793122,3801.256457328372,2262.0883430237413,3621.927161384345,339.1246479388011,8743.03262130385,259.74163141789086,2399.168790440668,1321.4800486064544,4456.08426303005,4646.009701975027,13999.770706094336,1317.1008076967673,30.648683003221976,1,122070.2249670552,408430.6250457313,16963.331830534695,57963.68403342709,14241.689245690577,42243.21542733609,55031.677730818,166620.49517844518,23587.149479937987,73091.74187830655,9190.54226554847,30417.347604372764,50654.80514577146,146344.94571655345,75587.86556827117,229744.27634740356,70936.45419011904,213560.8741949658,51030.308229421906,149209.77437297773,36066.76256171156,132059.79684526788,45601.8171045438,123377.56320754752,242638.37798333156,531160.2494556139,26024032.059038673,49469386.3146742,14962.47458902688,44342.643331223124,20785.890547939132,40667.68602069948,3907.626266854857,46494.6849701326,49629.411767142934,66749.76856832187,52798.781961940025,106209.36305304356,4907.311700851992,10507.022756077178,59932.06270381205,181373.1130223941,4900.384972994044,14752.617843948874,5270.797637203879,15464.883698174088,10376.011684739906,32532.98831459084,19933.140266582617,65708.14359326662,24239.12943870914,67419.79899572185,32749.26149451692,98215.95339027191,5892.967716089905,16838.590565791757,19825.99834352106,56368.62075465657,35205.67938729694,110251.87442378864,35233.21326341102,116106.10201810351,15509.604514974451,80166.56978925705
42.374,-71.07,Community College,3083.2202524028835,951.0326409808106,2953.3271051518723,291535.01195901545,3879.6078381371153,3927.8409296758496,68.99090644763388,1335.0569807770742,183.1822781967646,1408.1810165084073,226.51715129783844,580.1216186997274,3045.4052127603923,3282.7534812836716,801.0367902404918,181.70527322321868,1052.9494914601396,1228.3255696654385,359.2970770441007,1715.1324150071998,1203.378620479305,1842.0265922810875,237.34826852327947,4120.946876389741,290.6332788529954,1131.323670927134,636.8257051432812,2000.877050940888,2964.5102993710875,6525.82702910197,588.8915950433808,16.716542026767808,0,156479.61517417946,466914.4676968801,21208.00291967979,66661.3106821965,17981.2750946919,48360.901313173854,70695.53597089107,189296.17114710374,29640.987443978833,83747.22515191986,11455.135785958995,34887.40517543208,65659.65508971497,167032.89693243266,95774.17012874343,263213.53374890797,89897.71651539695,244716.6064596064,64721.830622563226,171063.74746098762,46973.668623946796,148424.12977556745,58624.28581237597,141618.81303944733,308755.91906797286,558604.6947753938,31923793.62038958,51164483.548714146,22042.3239606312,48439.92126098247,27510.019630472983,42609.07795858323,6613.008217322571,51620.35575972251,56768.153055880655,67304.31696260511,65565.13359853663,110458.42898936056,6605.619519673964,11116.500694284894,77096.88807826926,205547.3416319142,6401.3521073781985,16251.170484810411,5695.074120926884,19149.397898364452,12308.002385255073,39174.962482109,27107.05112997137,72878.92088769803,31858.655976319107,74089.80134153394,42555.35459201208,112093.50383381256,7846.235528540022,18252.544207778556,24936.449881666063,64808.144206851255,45759.086089225006,124488.02694025247,43702.53338140832,130714.30814191325,21284.49542929307,90940.22820800189
42.367,-71.062,North Station,3800.9263489645496,2892.1213977969896,3296.95743292821,1512241.9781550062,4302.275578878183,15621.8563206081,462.1691527797011,1022.6605451032372,2532.5764265600988,1050.4926436781607,1033.2298077257028,360.4684703345401,3461.315402628576,3793.092819685968,370.33204515929066,76.88567575172061,1770.6858851497943,1568.9300569986567,313.86264563453597,2048.427303038096,1012.2257321788522,2449.0896704497245,331.7774170573921,4500.860274332139,3073.588209982788,652.053918948921,721.3940151630055,1573.27533932116,3206.2064903950777,6512.812886444518,698.0341181474665,20.23079639851139,1,200274.33958095245,508907.986487936,26150.05545973321,72768.81731668685,22178.87101466762,53639.17734877742,87923.25274515037,207225.9917781433,36266.94558215019,91979.12835573549,14059.516196534389,38444.83394833165,80393.54963676792,188500.3456955055,117547.0049632701,286934.3824173166,110175.63330632805,267192.5785357725,78421.41084731506,186790.34762963266,61708.771203033124,157445.63593390942,69984.84958217166,160270.40727158735,393454.80578181695,584050.5394132835,40441109.75069265,52750696.70728388,28267.57150335077,50454.19440444742,33533.71071997706,44484.90203190604,18044.84021547141,57055.20260126854,62844.55886113952,67754.49028836061,86262.97027930937,115072.00022914768,8167.4791063883895,11536.765858562372,96180.22141417605,224931.6025454817,8256.968669025688,17705.610767338385,6284.819227646771,21540.87436011404,14586.210605784654,42389.054768298236,33978.5213856343,78242.50783542238,41173.13478592825,82474.68383548634,52253.20125012257,122439.76177487757,9936.028629554728,19317.443976442657,29391.361430873756,72074.10227708341,58531.89131427662,135151.88950105992,56904.105459191764,141692.33323024414,35151.30750833602,100029.24200385966
42.363,-71.058,Haymarket,3581.851019498694,3738.433015562466,3126.2564089096963,1776304.802709399,4100.683094209397,15818.346693839849,308.01163454409243,749.0372341590097,4243.007863722649,789.9292684205011,1463.1129735216825,181.21854487649793,3238.909733314701,3536.9013016338845,132.22407772304325,41.03571715830704,1566.1035844134672,1797.3579223390668,204.75006214893233,2176.968925223305,818.5361207575883,2420.3736125571118,297.99156831918384,4226.345590841865,1202.107142857143,283.09288827555156,708.5783773344668,1219.5690136137607,2734.5148660168397,5695.920517804252,706.9289847325578,34.13435473414931,0,243768.3906864367,522462.7241599273,32177.27993773569,74795.14456252944,26026.089533773724,55437.39426521887,105028.97203546112,213060.26601715563,43525.247322601135,94735.79894734206,17185.59600823297,39588.33424450629,96700.55871045141,193816.29860783037,142293.03847859186,294887.97658660635,133328.95945109602,274583.37376371265,94937.96581797651,191872.4569484935,75392.20889988843,161086.05671773743,82926.75525114601,165182.7494734854,430610.4205025126,591151.926514236,43438344.70993299,53143165.262266695,30534.26987254636,50900.870741971754,35604.4468795904,44987.081422504554,22820.061510656207,57581.241130542934,63587.37349050075,68316.11822980968,98870.7830687411,115940.38379380974,8639.658803516371,11642.284314028579,114749.61893363523,231235.86359892096,9720.646898174122,18175.59758176531,7307.202112969299,22818.933439153127,18064.98890907975,43314.91640109601,42500.073626261714,79781.15814193327,46702.372859928684,85031.70350419493,63016.43196699608,125306.00532609422,11453.01818503182,19730.282551562486,35111.49842782208,74371.00913593563,69917.47360763903,138689.25688122,69230.4728613909,145378.3766796272,44140.19778090638,102316.8389123248
42.359,-71.057,State,960.3057908462507,3285.7894008773333,760.5911083741504,1659574.3589762838,986.0250897750711,12913.02122510749,169.02030796326954,227.13695101406216,4051.868139861967,219.37047612032168,917.6790550689873,60.16144186991477,828.5634786443401,949.4926707634085,45.9625475959668,9.691621919089323,577.4336878646893,316.40481338366305,81.05757608266742,499.4559015210476,281.020533297171,547.542945347169,120.92919211906843,1024.5519529664616,133.25,100.4440632903927,243.05483309146402,270.6595892215755,838.5128490849116,1504.6618104541515,163.90553843645552,111.19611016659775,0,269496.37076882424,512433.42824243405,37363.28168012439,73622.71581972363,28665.752340546882,54373.77066667941,114693.49351167555,208873.45259429258,48978.04958819083,93145.37748539213,19734.871076160507,38925.53181080723,101894.1051749173,189151.36112857008,157247.83828070565,289222.2477833668,146801.3858304721,269248.4661728714,104005.19904151329,188259.39967804932,87000.62061775285,158334.45237756264,87879.17265598863,161633.33669925286,433412.0793262522,584223.9852026784,43517843.91501862,52729344.41378655,29837.269624307148,50032.510028336845,35955.70630610827,44451.958576342964,21015.854984413545,56498.141791494876,64109.93791230765,68207.90500308218,98938.59176133582,115157.01710617935,8508.749214881507,11500.558794293542,125191.28366135298,226621.33827173227,10497.790149677428,17747.885677439685,8670.75739580105,22413.3840935581,21016.919218941686,42745.487346085756,46903.54888689295,78461.12177728601,48397.163268507655,82716.48655263473,68176.42061637959,122812.53705130123,12521.471688204056,19540.504298195046,38413.261517898805,72991.54973202576,76280.23199377675,135881.90286226684,77766.57736126243,142714.76501502423,46390.17159699577,99464.6151201884
42.355,-71.06,Downtown Crossing,606.2858676324611,2268.065014792441,463.4892290097794,1183115.0840462947,647.5278119747392,10058.336757142662,174.90136089930402,216.15614916385508,2531.1892832507947,398.03685338242974,731.6254017523775,68.89924052847661,580.428608296894,660.2790608803215,42.95452576350952,2.7477490509149054,507.03127106018894,107.54551500570804,122.39948645292594,281.6653996276724,216.53670119445226,363.89190710244173,79.8504525834274,681.9005033127532,220.05797101449275,127.57011804762772,188.2676497010464,343.4808116745207,556.3803066280364,1232.6290714684649,251.46724740466647,322.27616373604195,0,295009.98405985144,527887.7577009217,40798.045878975114,75769.1822922184,30520.53454593273,56264.49402241002,123758.695326429,215364.59963747417,52437.18834241136,96028.61956384435,21458.134537724574,40125.87854744659,111733.93605170037,195372.7345464413,168297.47857473808,298103.1115680088,156857.85209023973,277538.01491690957,110620.95600437603,193927.6315169274,96937.21047121334,162435.31285930175,93487.61391133472,167086.99331257373,457052.05795039766,594237.8680514771,44977329.27949893,53310149.05283681,31693.522253189203,50940.945990947555,36883.82050490178,45158.49314310993,29788.92466130917,57585.02119022941,64738.054956053296,68731.0645700226,100907.24387051415,116402.69998944981,8840.445106362444,11668.946853267358,135513.94762579052,233674.9518033447,11755.252299361504,18310.352165870518,8185.981863725023,23694.223124130418,22484.14259617236,43690.19759985584,52206.3000988131,80219.32302703438,52475.39808996789,85781.42572023676,74037.73544375933,126138.0267943622,13530.448872723457,19983.852729122504,40204.20744857052,75453.4282012667,83554.4878778585,139911.1714362075,83635.97508841826,146740.63285746778,55892.34446799322,102740.90368714622
42.353,-71.062,Chinatown,767.4333660001928,1407.156125467756,642.7162521645666,663299.1729296162,948.0766935926107,7073.019973358709,165.2783338673848,329.67528215497515,1086.0906154249208,701.2907795070884,664.1157904950619,108.01967705076572,811.4192466424331,891.0242573472925,56.69366693196822,5.51199032873825,626.2131814512155,202.51472370015253,189.38125926010366,379.8446902505008,261.37908241244884,550.0401642299844,79.60501070485937,1002.6985812132546,422.9151943462898,202.16199702552137,225.00226320848216,649.7467436392586,650.1910438290506,1847.4981642786563,430.14189038018424,419.1266555753531,0,241412.41939451912,495637.30946534424,32905.48100205567,70964.87985744815,25571.231623993513,52073.702591303256,103957.1527342763,201646.91006932233,43059.40653021904,89772.45533883573,17293.76209470637,37403.174654714436,96339.26426744669,180269.27299113528,140684.66319570382,279816.2174814646,131569.58468792992,260365.83502480315,93343.06262347648,182033.8636544275,78450.91825142557,154542.39611431662,81161.96888026294,153697.47480957262,416172.1596452616,577072.0564454828,42319381.30202948,52326408.20292055,29666.740333539306,49381.726324842355,34600.71813086458,43819.65369903331,18661.905962129225,55454.24283185298,63350.39454681972,68068.12629130548,96930.06928509717,114389.89179144928,8198.439083556397,11364.712607664578,113743.26540598868,218760.16047496648,9786.112671712406,17113.25040564413,5818.317863795136,21433.58159592007,17893.295764559436,41706.37550885371,45351.89192814672,75988.99180014714,44568.637186860426,79358.8250584144,62340.04840020842,118563.23453625993,11642.992846646725,19276.320507136403,34159.58592343852,69828.24746225214,69797.56681083779,131818.66260707017,63885.339403979,138292.6489223578,42649.720782989745,96083.2849223253
