lat,lon,name,near_bachelors,near_business,near_emp_full_time,near_emp_pay,near_employed,near_employment,near_entertainment,near_family,near_finance,near_foreign_born,near_hospitality,near_house_w_child,near_household,near_hunits,near_hunits_attached,near_hunits_detached,near_hunits_large,near_hunits_medium,near_hunits_new,near_hunits_old,near_hunits_owner,near_hunits_renter,near_hunits_vacant,near_labor_force,near_medical,near_pop_child,near_pop_old,near_pop_poor,near_pop_rich,near_population,near_students,near_university,parking,15net_population,30net_population,15net_pop_child,30net_pop_child,15net_pop_old,30net_pop_old,15net_household,30net_household,15net_family,30net_family,15net_house_w_child,30net_house_w_child,15net_bachelors,30net_bachelors,15net_labor_force,30net_labor_force,15net_employed,30net_employed,15net_emp_full_time,30net_emp_full_time,15net_pop_poor,30net_pop_poor,15net_pop_rich,30net_pop_rich,15net_employment,30net_employment,15net_emp_pay,30net_emp_pay,15net_medical,30net_medical,15net_hospitality,30net_hospitality,15net_university,30net_university,15net_finance,30net_finance,15net_business,30net_business,15net_entertainment,30net_entertainment,15net_hunits,30net_hunits,15net_hunits_vacant,30net_hunits_vacant,15net_hunits_detached,30net_hunits_detached,15net_hunits_attached,30net_hunits_attached,15net_hunits_medium,30net_hunits_medium,15net_hunits_large,30net_hunits_large,15net_hunits_old,30net_hunits_old,15net_hunits_new,30net_hunits_new,15net_hunits_owner,30net_hunits_owner,15net_hunits_renter,30net_hunits_renter,15net_foreign_born,30net_foreign_born,15net_students,30net_students
42.074,-87.691,Linden,2324.235108377045,141.20474538847776,1320.778461261442,65729.00345749783,1936.2541956070618,1477.1924872554025,35.12799855949889,1186.2877743372364,52.12636559799982,844.6797157962163,89.15062859571805,596.9343854698305,1590.523972240835,1669.1881583724696,108.69164656951155,1182.6750766742134,324.461899040945,51.522058853916064,140.51579946335428,569.7165873111925,1301.5148159080914,289.00915633274394,78.66418613163464,2033.6248849517813,15.45380212591987,1264.2362032169221,781.4753913410533,450.0273836898672,2952.1712832562407,4548.535802946533,354.24966983596585,251.2916288584324,1,45768.45112602939,200500.62712845218,9550.444841312023,30336.922836546433,5745.015089200726,21565.83599540034,17912.57655217585,95036.10393366535,9609.039724063587,36083.01751509728,4724.085083093555,15394.610717631229,18462.969795315974,85326.95114944848,23187.438271702566,121224.54053972398,21457.686226474652,112091.62675595345,14976.40221575364,81459.73873855079,11946.73795901273,64762.87404845144,17651.2523970662,64299.34456358763,22646.13696370688,59803.776242587635,1123363.7110722864,2558545.443756755,793.4651429150304,2521.7394068308577,1047.9110111879136,4770.709735146894,7047.01588634443,8857.573243027859,730.7709934688063,1794.8396010793972,1602.0576955338515,4638.80504551633,390.4190624032381,1897.607000241702,19771.767258732267,106049.58930968553,1859.1907065564196,11013.485376020182,5693.167246710124,10983.233823906587,2314.390273120276,8495.67931398796,3910.720595177765,26902.344954295208,7831.07278466132,59550.57215433513,9440.919332778736,50647.878723335176,1548.4797154933494,6727.487834102259,9352.189951565068,35005.92437289517,8560.38660061078,60030.17956077017,9878.900804468547,45786.636525911046,7083.901068126588,26149.413018191386
42.064,-87.686,Central P,1773.5600817366305,301.6194579819406,1179.1414910071996,218820.33490366652,1776.4150327212187,4093.016320907044,76.67575323743768,823.2409497861387,147.60585764424937,792.9539379108602,177.1982542779636,392.4026388032034,1600.3089824689835,1773.209195297118,225.23214472313157,618.7969460195825,729.6658037435318,196.6992458032122,228.80731954624216,804.3029362017411,909.1191611737722,691.1898212952112,172.90021282813467,1903.8054967810115,106.6312346688471,800.8361559873779,621.1869150547125,1041.7368174961848,1745.6495800998316,4408.120867045881,1156.1446713266484,1693.471733708021,0,45768.45112602939,213072.96310406196,9550.444841312023,32119.828324351314,5745.015089200726,22592.478068571072,17912.57655217585,101139.99722634826,9609.039724063587,38120.727271194846,4724.085083093555,16325.271083484888,18462.969795315974,92641.66273481434,23187.438271702566,129614.60944216301,21457.686226474652,120175.8218779047,14976.40221575364,87825.1369092825,11946.73795901273,66853.46429235386,17651.2523970662,71122.3762709047,22646.13696370688,64926.12075478275,1123363.7110722864,2765329.882781146,793.4651429150304,2521.7394068308577,1047.9110111879136,5770.549369293234,7047.01588634443,9048.450072296151,730.7709934688063,1883.577405957446,1602.0576955338515,5127.768460150476,390.4190624032381,2418.805780729507,19771.767258732267,112682.28748041723,1859.1907065564196,11542.290254068961,5693.167246710124,11604.76065317488,2314.390273120276,9404.064679841616,3910.720595177765,28623.31507624643,7831.07278466132,62917.53800799366,9440.919332778736,53312.00494284736,1548.4797154933494,7343.581736541282,9352.189951565068,37604.312177773216,8560.38660061078,63535.68504857505,9878.900804468547,47057.57920883788,7083.901068126588,27773.13374989871
42.058,-87.683,Noyes,1266.258994276369,222.03461433633134,847.7752112292175,162049.3165031343,1278.610588716271,3024.596688470972,56.46443172526572,584.9362224039246,109.1057508857999,571.2612428454618,130.27991278277455,277.9843962932678,1155.903379667484,1283.242436631234,165.71722540201682,432.01171981466325,537.588443717634,145.8664486236031,167.555260288907,586.9948214772415,646.1795448351047,509.7238348323792,127.3390569637503,1371.3945898064862,79.40310711365491,566.1147451621694,444.3633142545651,767.8574543472333,1228.8366039792854,3179.57979013355,856.0096075224853,1260.8919324066499,0,57245.56270123051,232966.5416600847,11578.123256047145,34373.50018066044,6819.371349063003,24135.071971496367,23023.16004077664,111701.7899457451,11597.655939592172,41286.86793980687,5659.507373354671,17616.08453275447,21945.97359178041,104544.81345647066,29748.503949124515,144325.71780087063,27394.909425950627,134296.55464756675,19116.607014209705,98827.38247482666,17092.95215211747,70619.49142167806,19659.66189348859,80856.85999814338,24356.07510372124,70697.98139264359,1195163.9404649935,3033135.5944010513,801.840616998469,2942.447832296959,1110.4137788394037,6764.492964404459,7050.149655679672,9062.589271315013,760.5820472400003,2100.1199879102983,1653.8668981793633,5784.282976347718,429.1942379163927,2809.1805149038164,25664.570763293665,124272.82775300942,2641.4107225170337,12571.037807264309,6058.684617554086,12450.638562153747,2644.104927697844,10461.395891100541,5669.47222238776,31925.960173272804,11266.387046899936,69280.40342316506,12691.007317257625,58430.827347119906,1803.6965946127589,8437.986944006152,10702.661908712442,41568.214074499934,12320.49813206419,70133.57587124515,13151.292044142849,49592.13363966882,8669.768292590086,30039.807451883946
42.054,-87.684,Foster,1172.3751022076856,205.57236304170064,784.9188470973014,150034.53863450524,1183.8109157808663,2800.3448487326236,52.278004905968906,541.5674570727716,101.01635322976283,528.9063777596073,120.62060506950118,257.37387571545366,1070.201553556827,1188.099345870809,153.4304987735077,399.9811937857725,497.7301717089123,135.051512673753,155.13225674570722,543.4734260016351,598.2700327064592,471.93152085036775,117.89779231398197,1269.7156582174973,73.51594439901878,524.1414554374487,411.41700735895324,710.9264104660667,1137.7273098937035,2943.837080948486,792.5427228127552,1167.4059689288629,0,73469.72445482083,253691.36588588596,14380.80277229809,37198.31025611652,8317.326753446978,25782.549104375994,30303.190275092584,121910.04512003754,14352.1102101893,44727.45140348681,6946.7250604295,19143.91936220294,26810.447514682903,116236.985597236,39054.65512070426,158664.89770194388,35811.8663420504,148065.01373229432,24976.304671050217,109586.75892261307,24490.57271145231,74594.944722179,22352.67852236236,91146.72460953785,26727.36988830174,78356.87100580189,1296206.400026596,3363843.489904289,801.840616998469,3161.671068744422,1193.6518740774989,8121.011734588361,7053.452754697057,9228.094384279942,800.879855252094,2313.963743871688,1721.5804280357502,6580.686414217766,485.34692121193314,3425.4701639119507,34078.55489027779,135417.38242984784,3775.3646151852117,13507.337309810304,6507.575774016671,13429.760945316028,3081.4352375995823,11914.95031174489,8184.782124126232,35188.33369524155,16274.545777058665,74707.28928904593,17363.571187250065,63219.22116134597,2168.358726132033,9622.669534692224,12533.569694048798,45661.63660452843,17769.62058104378,76248.40851550913,17773.64880907104,52248.724961677406,10981.27698495592,32455.121313030257
42.049,-87.684,Davis,1496.2745298446434,262.36713000817645,1001.7733033524114,191485.52228127542,1510.8697874080121,3574.013695829924,66.72117743254289,691.189697465249,128.92477514309067,675.030662305805,153.94521668029427,328.4801717089123,1365.8728536385927,1516.3430089942754,195.81970564186415,510.4865085854453,635.2412101390021,172.36304170073578,197.99161896974638,693.622240392477,763.5578495502857,602.3150040883071,150.47015535568266,1620.5079721995085,93.82665576451343,668.9493049877346,525.081766148814,907.338511856091,1452.0543744889605,3757.149427636956,1011.5034750613239,1489.9325429272271,0,97674.36914391811,275053.0965353466,17860.423932976377,40486.051493782004,10820.99412194252,27711.263217641914,42119.22118991377,131861.8121453095,18525.291920746487,48597.465246608976,8664.862538869424,20832.16004651264,36160.385272993495,126413.25313126088,53910.177137880295,172790.00684902165,49387.64971759478,161434.33161101912,34753.9813047067,119880.38725406064,33877.58316770453,80151.68289437714,28322.398835490832,99865.57865517476,31769.55647013021,87537.86133364266,1493778.717283371,3797197.003055618,1016.762777298371,3268.7961163576892,1528.8874345840752,9627.805596887563,7225.1324689651165,9424.709273608947,970.2959520804259,2769.9400418538526,2115.353901445065,7666.008809073863,629.7760751076235,3873.0182955244136,47394.14557891982,146432.00797139102,5274.924389006059,14570.195826081537,7269.226624318855,14522.331471903863,3900.888645443538,13609.837005182808,11858.13852649141,38535.09009125223,24323.513500017536,79571.29209272534,24198.856519124565,68150.0054969201,2875.205719489974,11123.175144726481,16125.58062463748,49631.328150321126,25993.640565276284,82230.48399498839,23920.572406393974,56156.8511936029,13942.43951152973,34584.16608349263
42.042,-87.682,Dempster,2194.800243196578,238.7525455872984,1707.8884021281942,169704.9255566249,2443.5614643342124,3329.3618853282314,55.253993637194675,1093.3539357841128,109.83410740688291,1011.5393895414446,151.32953411901886,536.93015248198,2039.8975356103124,2240.5763786451494,310.2594050883836,669.19688689085,852.9930221395717,405.80718970125554,204.01659270499857,1070.595007406504,1119.3520913079449,920.5454443023674,200.67884303483694,2629.850270779301,127.06802716166027,1053.2879536375945,664.1258282139041,1221.1278904574806,2122.9157533012267,5256.652968338618,949.8000126801277,1158.465681820453,0,97674.36914391811,299815.1445447319,17860.423932976377,43884.933171495984,10820.99412194252,30299.383364680056,42119.22118991377,144372.18216983517,18525.291920746487,52846.72035480751,8664.862538869424,22526.202370014744,36160.385272993495,139397.652197382,53910.177137880295,189296.29786251686,49387.64971759478,177087.15000097206,34753.9813047067,131965.93779965607,33877.58316770453,86149.89800311744,28322.398835490832,111000.41682610617,31769.55647013021,98331.40781072056,1493778.717283371,4299134.230779761,1016.762777298371,3342.0687728645858,1528.8874345840752,12020.159724865753,7225.1324689651165,9770.84567758634,970.2959520804259,3202.9084596916337,2115.353901445065,8903.22445130146,629.7760751076235,4425.356038579317,47394.14557891982,160349.74039606727,5274.924389006059,15977.55822623209,7269.226624318855,15713.589835295046,3900.888645443538,15171.979410014152,11858.13852649141,41587.22656096195,24323.513500017536,87664.69387700618,24198.856519124565,73549.91643588815,2875.205719489974,12648.352348800072,16125.58062463748,54592.0288520273,25993.640565276284,89780.15331780785,23920.572406393974,60025.853821561715,13942.43951152973,37295.629593379796
42.033,-87.68,Main,2374.6472819216183,81.29393173198483,2136.7503160556257,48905.19911504425,2919.2667509481666,1284.0783817951958,8.146017699115044,1279.257269279393,22.775600505689,1120.326801517067,73.480404551201,647.6915297092288,2251.1270543615674,2443.9715549936786,363.5783817951959,627.5758533501896,827.4026548672566,624.4171934260429,116.03919089759798,1222.7338811630846,1210.2654867256638,1040.8615676359038,192.84450063211125,3151.677623261694,124.68394437420986,1226.890012642225,590.0044247787611,1188.154867256637,2288.365992414665,5379.031605562579,380.7016434892541,8.977243994943109,0,123146.60668848423,307905.0156924186,20816.11030142399,45058.683853777984,13306.037036071582,31133.928766953955,55201.10489709387,148304.3115293698,22768.276989806647,54330.25267781988,10244.572705433322,23133.14351587478,48216.41679911037,142897.47330722184,70887.17905135076,194499.38135700306,65226.0134982748,181903.07368811526,46512.6728806127,135545.91727317323,41363.00886038892,88819.95619455662,37029.21042515929,113580.01539491149,37971.487620404514,100349.31045361508,1751552.5017385383,4382385.111917696,1167.7201194128795,3463.411293245872,2050.431388973341,12190.66502175404,7794.905746213922,9807.555165592148,1287.7326605872322,3318.164517401936,2659.863855091557,9119.623981344484,908.9161418211883,4500.014542542089,62105.45960059391,164685.53559326197,6904.354703500045,16381.224063892172,8274.54898234302,16089.487163964777,4923.731050313346,15627.290713987975,15303.052599221639,42860.17060476433,33545.930576425984,89889.49904501071,30670.16159349759,75880.34159793073,3713.516109273771,12959.934502209515,21058.29341976974,55965.56113860822,34142.811477324125,92338.75039076156,29601.034934062944,61907.58114117761,17439.80184682086,38016.35721146357
42.028,-87.678,South Boulevard,2666.875383781831,90.61971986434689,2409.8801496999977,54929.459163606436,3295.245439768827,1440.3202094997287,9.419410832179477,1437.6039873176408,25.534756085324982,1274.1734292537071,82.06110408765274,727.1258202396001,2546.474374410531,2768.1232616940574,406.210232175466,699.0624586117631,951.9694479561734,709.7454498023397,131.19071699476248,1388.0874219894445,1354.7520518531894,1191.7223225573412,221.64888728352693,3559.0931109907083,138.27433628318582,1379.8598318383397,664.5976060040534,1368.4468223867716,2556.282513595408,6076.717917845603,438.06612084361757,9.97842794935083,0,145434.98138083308,332297.69175305235,23474.492163382256,48257.5550232365,15947.980089397784,34482.77998370567,66467.59631853136,161014.36551018883,26677.578898135525,58766.710973729285,11656.852801741508,24675.578728476044,57075.98100456783,154837.76758414911,84406.49574476971,209844.9827213042,77572.47067680163,196162.72096816,55298.52834699401,146217.007911811,49509.99018730171,96228.41124903664,42659.49786942538,123149.49179630994,43339.69734039737,115116.98281353126,1918462.225084356,5103918.537021074,1365.6677741301971,3882.99501830791,2420.2085068616952,15781.096273579682,8565.561533622518,10421.237697112087,1395.9059083132888,3724.1759757233353,2947.186077313779,10989.479871280315,1026.6573759927596,4870.69691520737,74814.83498850188,178994.06493297682,8347.238669970528,17979.69942278796,8983.686185838647,16938.747146862846,5759.332905137672,16833.077049028063,18103.576515754547,45460.03281068514,41901.488664530145,99534.73913560038,36017.89808359925,80446.03107460828,4249.481991207069,14712.721633334511,25108.13668711413,60629.26969389477,41359.45963141722,100385.09581629408,35912.29897900676,67098.5026467102,20580.81830838676,40499.30860686385
42.019,-87.673,Howard,3193.9430699735753,58.59318759359458,3587.496033922251,61705.41145693169,5113.652051190017,1623.2124458877586,30.332274374034853,1971.6024306171198,33.847426970006765,3060.0292475383767,69.84535102378933,959.1621126720784,4292.266846220717,4889.013918233477,385.4510329511986,553.380602977644,2474.020131348293,1469.2484545929067,207.23095988203346,2561.3930108354143,1449.1789175045567,2843.0879287161592,596.7470720127602,5647.7686647145765,34.608091024020226,2066.129178402211,1042.7628360459096,4291.121801056397,2167.248986036879,10218.825665571183,1144.8831445544104,6.600725750490657,1,182966.88318868115,376823.8519968774,28110.761665980648,53448.44484222072,20172.376091357422,39367.54683251001,86097.59419277713,185269.8082091989,33267.42630332802,67212.0044774847,14160.309723493738,27385.600377711093,74825.34725724118,179207.29103756614,108852.14000739723,239820.3580267582,100153.66193099908,224061.6810552392,72094.21672511127,167777.06464891214,61769.158911014354,107308.36723168538,55068.47397567767,144131.0692115835,53572.238433561586,199866.34547849113,2298350.171426685,11746827.991136204,2254.165710685733,5766.946693897662,3522.9415682866534,29381.177974944865,8726.20256939255,12447.592996872992,1695.5732303034445,10763.590356100578,4027.289946793914,33491.64082715312,1359.5759980847417,6570.495069279516,96318.25754567911,207120.57202748238,10220.663352901993,21850.76381828346,10206.520633264478,18446.558683337338,7354.719986517133,18885.097211207878,24176.62236290093,49100.08216333712,54483.12178101507,120444.58994351688,46665.44141483454,87458.41939487893,5765.179308578228,22339.004797756512,31468.82568919405,70251.72261230063,54628.76850358307,115018.0855968983,43855.217519772006,77882.77937758222,24029.462277081933,44889.204517293314
42.016,-87.669,Jarvis,3483.0037964644375,51.809202645511796,4140.204798456066,71800.22939270703,5937.223199475975,1709.93814001436,38.775175513154565,1988.6162155285863,29.811053771193954,3272.3912396743012,62.50276765149021,935.4222902611158,5110.583488600785,5892.803504561399,329.71465457756756,365.5173708439612,3435.314262238616,1758.751627209995,255.21687911940944,3250.087984478889,1350.4719571473743,3760.11153145341,782.2200159606143,6561.065677421949,8.375474083438684,2027.6784147351234,1074.3562598622777,5146.214193104741,2008.4094964223882,11477.111575201123,1585.867224463498,3.1337693352418077,0,147786.21126421008,299848.4191384662,22683.016036155557,43633.81347003125,16353.35477996188,30798.642897107875,70017.63566885097,144999.86792571752,26932.727449681046,52936.713889955856,11361.701299918337,22363.105871223677,56481.83386516151,139553.22065290797,87419.09097152243,189173.54574948264,79782.00471186594,176885.70046073507,56930.520495787336,131760.0865929526,54791.06376326992,86520.61595816741,38479.42765172662,110846.19404419727,36597.29694513625,102756.39294846484,1430441.707635601,4575523.4319272805,1658.567349733996,3564.0664254467456,2186.816845927562,13309.00262197623,4337.321603106068,9943.700221701005,979.950653691214,3347.601973890185,2470.5512457460477,9669.18116073915,764.1668447433218,4352.740294200859,78652.76011861056,161281.16035727283,8635.124449759593,16281.29243155532,6680.855976031218,15567.326605325965,5707.70419113621,14974.912469090843,20392.261779146465,41093.67601926917,45804.50925477325,89439.1818747406,38765.01455929997,72971.15646061719,4037.100312744036,13037.88538243193,23983.69444371239,54761.408607050646,46033.941225138566,90238.45931866686,38429.81234659595,60298.2892326273,18575.714042985866,37209.59532947032
