lat,lon,name,near_bachelors,near_business,near_emp_full_time,near_emp_pay,near_employed,near_employment,near_entertainment,near_family,near_finance,near_foreign_born,near_hospitality,near_house_w_child,near_household,near_hunits,near_hunits_attached,near_hunits_detached,near_hunits_large,near_hunits_medium,near_hunits_new,near_hunits_old,near_hunits_owner,near_hunits_renter,near_hunits_vacant,near_labor_force,near_medical,near_pop_child,near_pop_old,near_pop_poor,near_pop_rich,near_population,near_students,near_university,parking,15net_population,30net_population,15net_pop_child,30net_pop_child,15net_pop_old,30net_pop_old,15net_household,30net_household,15net_family,30net_family,15net_house_w_child,30net_house_w_child,15net_bachelors,30net_bachelors,15net_labor_force,30net_labor_force,15net_employed,30net_employed,15net_emp_full_time,30net_emp_full_time,15net_pop_poor,30net_pop_poor,15net_pop_rich,30net_pop_rich,15net_employment,30net_employment,15net_emp_pay,30net_emp_pay,15net_medical,30net_medical,15net_hospitality,30net_hospitality,15net_university,30net_university,15net_finance,30net_finance,15net_business,30net_business,15net_entertainment,30net_entertainment,15net_hunits,30net_hunits,15net_hunits_vacant,30net_hunits_vacant,15net_hunits_detached,30net_hunits_detached,15net_hunits_attached,30net_hunits_attached,15net_hunits_medium,30net_hunits_medium,15net_hunits_large,30net_hunits_large,15net_hunits_old,30net_hunits_old,15net_hunits_new,30net_hunits_new,15net_hunits_owner,30net_hunits_owner,15net_hunits_renter,30net_hunits_renter,15net_foreign_born,30net_foreign_born,15net_students,30net_students
33.034,-96.701,Parker Road,875.5335958783407,421.33322494050935,1465.7005944039724,118640.5420669945,1906.361564240097,2296.949506246493,28.14731505790194,938.6329318505125,72.83428051988423,895.287026586706,144.49078924965923,443.5394275969872,1283.677294333164,1341.78258212026,55.14922276375344,904.8383352953772,228.49909580635017,138.45178723348982,176.03494194997117,8.942602984437235,793.2899298165842,490.38736451657985,58.10528778709594,2021.7094906993348,23.06034482758621,939.4334258088832,413.57149852420775,1252.1602075762419,980.8145213842242,3679.1635145572586,208.77872409244054,2.5274966887507935,1,24852.136449788966,66976.64544552437,5826.982660802406,15358.94458203617,3085.3228854727477,6675.908864095224,9074.364475621709,27455.435660495223,6342.020505934912,15509.768540959569,2878.517229155813,7503.697161458747,7387.668076761146,19553.65861052908,13655.69868148128,37400.84675419748,12852.329342238787,35215.30314963166,9661.613351744698,26066.75191014113,7306.221223390038,24904.49205958938,8022.216917031968,19411.137989432034,18725.11593977037,49962.4590817845,1148826.5087160803,3082418.096801759,164.51182454943685,1250.419950516507,854.5745638977172,3101.5466740201455,61.73919036307408,1134.5743286976767,1954.5110012979635,4586.862497497519,3451.860977162011,7932.474925936422,171.87374720735374,652.330193072563,9573.039328649582,30827.877655938886,498.67485302787156,3372.441995443656,6162.753982165498,11300.78993138794,408.3935324531521,1980.802178851293,1000.5772156046776,6365.721830818929,1934.1185459724677,11045.307441938528,66.06571093915679,1565.6268093258323,1349.358534140739,3737.773383919801,5423.8376043049975,10821.969970841228,3650.5268713167125,16633.465689653996,6126.553785386115,15995.899958299837,2034.3435952756915,5986.254286861696
33.021,-96.701,Downtown Plano,719.3622098737653,413.0871506519893,1339.5294211474513,113856.71071793212,1741.5637055534341,2219.8105823010446,26.154600535194813,836.3932403803094,56.78786721349084,862.5474955162226,138.80176701508324,401.339074168678,1144.2308575503735,1197.8008376436478,50.626613848367334,793.8770191657206,211.2529581570301,125.85161353686667,186.96545998022523,8.086477260816952,692.5249259178094,451.7059316325641,53.569980093274296,1848.504396648839,11.530172413793105,880.4117479182594,344.82773930031817,1242.516737114683,798.9315781430603,3356.3884155096557,185.186276489468,1.9532902900474434,0,39897.37786932857,79954.07464267242,9803.199959095304,16848.141749834904,4267.11694966582,7382.921434645737,15203.865415514792,34562.04550926857,9841.8064270784,17547.43511658918,4776.929233375586,8207.383684204804,10058.863776800563,25536.58721285896,21569.016163039312,46788.47079423738,20211.232200009203,44240.51085644413,15085.554617934946,33244.258828316255,15086.936457160258,29151.84081229196,10501.602633257884,24249.05514109541,30026.554266723957,59395.89252382377,1910993.1849379963,3688873.268916417,762.2434550198398,1503.2612683125076,1193.569341910766,4522.804706629875,79.07603317621849,1316.4248053343626,3134.9986151294734,5405.285296920319,4736.551598553932,10329.195952752349,264.4284432087244,787.5003005552705,16864.087014529967,38898.92941832653,1660.2215990151715,4336.883909057953,7756.592963911722,11952.530933016093,808.9413393230141,2794.544338060486,2918.8127818054,7283.2388094862545,5275.926412786711,16712.99028396667,96.85296030006599,1979.3427108837454,1614.6584823633273,7193.0035304689445,7079.139183152209,12393.492560724935,8124.726232362585,22168.552948543635,10219.522996465917,18300.506753869846,3275.2238294914064,7136.1227385726925
33.002,-96.703,Cityline-Bush,1118.8362077215927,534.271911406337,1600.5733036866477,187879.38845212397,2106.1734717437375,3046.3629771948094,27.83913533530588,1023.4357159440175,271.0874168304341,1012.3449905439651,152.08824037993838,485.3324408142617,1421.6205535180038,1484.9205104226562,57.54008714123877,992.9218471501974,263.18280017721395,156.98379404585646,238.70366972485687,8.252647956371497,880.1527232249989,541.467830293005,63.299956904652184,2227.771380050266,36.422226742078486,1012.3037050972193,455.59090390561494,1253.0496901050644,1270.0617076145234,4058.136247883821,288.0986976343787,6.61267691398575,1,39897.37786932857,79954.07464267242,9803.199959095304,16848.141749834904,4267.11694966582,7382.921434645737,15203.865415514792,34562.04550926857,9841.8064270784,17547.43511658918,4776.929233375586,8207.383684204804,10058.863776800563,25536.58721285896,21569.016163039312,46788.47079423738,20211.232200009203,44240.51085644413,15085.554617934946,33244.258828316255,15086.936457160258,29151.84081229196,10501.602633257884,24249.05514109541,30026.554266723957,59395.89252382377,1910993.1849379963,3688873.268916417,762.2434550198398,1503.2612683125076,1193.569341910766,4522.804706629875,79.07603317621849,1316.4248053343626,3134.9986151294734,5405.285296920319,4736.551598553932,10329.195952752349,264.4284432087244,787.5003005552705,16864.087014529967,38898.92941832653,1660.2215990151715,4336.883909057953,7756.592963911722,11952.530933016093,808.9413393230141,2794.544338060486,2918.8127818054,7283.2388094862545,5275.926412786711,16712.99028396667,96.85296030006599,1979.3427108837454,1614.6584823633273,7193.0035304689445,7079.139183152209,12393.492560724935,8124.726232362585,22168.552948543635,10219.522996465917,18300.506753869846,3275.2238294914064,7136.1227385726925
32.985,-96.711,Gatalyn Park,1815.4090612466364,686.1279844928687,1785.9559102607432,312901.4300009399,2423.9640664358994,4148.952831364613,23.769683371627895,1185.6510922115726,709.1339616441132,1111.3623345484941,137.06296505896162,551.1210408122047,1724.0824696226468,1797.5434461639782,57.80193612507024,1197.7879154493394,332.06876623519463,204.3273108551919,285.39402338201313,6.218316998986144,1084.0946465601885,639.9878230624585,73.46097654133112,2552.702132297214,77.61813822437215,1047.9508416471529,607.0652340700954,974.9849548030846,2049.608055656097,4677.957220741322,501.4671849930643,17.889559682525082,0,45474.17583912538,83449.6128740947,11301.10435444754,17102.62033817939,4777.612096977025,7556.503514209135,17482.822829842225,36551.48246685607,11090.503246021311,18067.173484417155,5433.940781202223,8341.111300132934,11253.88563295721,27415.813719120106,24414.90363952638,49504.23585157494,22859.361794319757,46867.859759553285,17039.239435537467,35384.71614423356,18018.2793856166,30029.398410602764,11648.865241539075,25805.60649508746,34110.424983907054,72182.71524832956,2163427.186505969,5092468.532999694,1011.1732969611174,1529.9712988712463,1445.3843460668372,5647.981694540269,103.2901020879836,1348.7502088272622,3326.6308445568193,7656.918160034216,5541.204597295487,14670.841710136836,339.7546845295408,1161.0407407730665,19587.068503677925,41211.75081762373,2104.245673835694,4660.26835076766,8268.939340988445,12087.884661048518,953.0109750283702,2907.2528746838975,3714.2373580575763,7423.794648357616,6540.893212150697,18632.559087488797,130.994879836444,2200.7676584467995,1740.1836038112233,8318.678435116803,7666.715658841159,12685.304622661719,9816.107171001067,23866.177844194342,11960.815504125896,18811.914983605973,3572.3678934073405,7441.453562351313
32.964,-96.723,Arapaho Center,1515.0833482457547,725.8748281770777,1811.6809532142288,215399.6388635476,2448.965334667977,3619.0591418848153,34.24260880279404,1227.091943175965,429.0334456492109,1168.176536567638,147.3405714571871,521.6950077174432,1829.7823866315293,1956.0313564013045,94.88184651659748,1192.1818147867373,460.4170559810645,200.03096568407838,232.96353103125156,17.620949120327467,1034.7236623416636,795.0587242898657,126.2489697697753,2621.108876424855,7.656640757012504,1019.828955541557,665.2297953431089,1355.6064591979884,1537.3732437352623,4758.802298356597,460.647976934952,17.552666121661872,1,52199.93290967426,92984.19432354659,13064.57469230527,18751.398844240208,5412.502644233691,8330.358297150744,20261.320830331588,41195.41503661398,12605.365990252605,19942.212477061028,6217.532540253565,9161.124699756921,12971.591511201737,31395.861947005502,27893.35452957194,55630.82036166734,26111.073138123364,52731.89577340973,19438.58692864568,40052.18630719907,21204.96280462965,33097.39696279791,13391.65540982486,29562.576953519634,39292.255912590204,97882.53601884015,2489069.625855646,7751267.802927745,1250.419950516507,1635.2495505896568,1827.928995012816,7653.144732307185,131.34152302489164,1384.8039453620295,3662.1174669743946,11616.635248241575,6506.694221448985,23012.05010747419,425.7321313375605,1792.9006921665978,22871.183731332618,46596.68144847563,2609.8629010010222,5401.266411861645,8981.153535513145,13287.973770551276,1122.0269177410514,3132.7570776776884,4631.124951502957,8059.473440717487,8020.054902157504,21948.27741096779,241.59405388694444,2768.4510172418854,2007.8851067115745,9764.870368328433,8452.280486601598,13968.30408413098,11809.040343729992,27227.110952483006,13864.405089705344,20560.70489423546,3951.9311339627993,8089.315309612865
32.941,-96.737,Spring Valley,1343.4436537950562,671.1658774932289,1658.1731690316533,200148.79861454238,2225.301199597642,3393.980900778595,31.720404104529155,1130.8155823725351,415.63402944083015,1076.8354016230885,134.79023073688754,475.4902380462383,1670.970913965992,1794.9605958977347,92.39382605812482,1081.1470503181265,438.69786961561425,174.9317442491943,229.29690807242136,16.944716618217498,939.0517164437531,731.9191975222391,123.9896819317427,2383.9024053607727,8.224301584594429,927.0539847893343,599.0377143294024,1227.9031745929763,1385.4278104988,4321.688752740314,390.16473513138794,15.203500666103137,1,59534.989865985015,100908.50440198109,14238.326403099858,20719.973970073795,6096.007853710671,9006.487709855648,23817.842811349525,44555.97172005758,14085.608260784757,21657.46450105657,6871.261584968458,10073.09035565145,16298.306024554437,33550.17961917573,32565.001381913604,59957.80046148569,30587.051620664777,56807.3888034193,22701.960046858436,43184.369352147856,22977.542324325295,36625.6195480351,16510.943783212275,31632.4024055715,44711.13999393767,112217.80416762631,2796893.1028414,9005968.32094934,1250.419950516507,1802.727803917236,2475.9211648350515,8672.549194431773,535.3020399016041,1409.098864333676,4164.805216291833,13038.054245983909,7228.762613699685,27063.26225038541,534.5401955247178,1992.1779073794426,26802.969198344224,50487.188896360945,2985.1263869946924,5931.2171763033475,10184.835920179012,14213.243997048708,1525.9177326107529,3272.0150034083786,5466.753865316875,8869.923625287896,9499.673501454905,23958.135564275668,867.6426781549123,2974.9688658129953,2871.486262814008,10193.61519647825,9682.651421823139,14942.740702574863,14135.191389526386,29613.231017482733,14898.281782993357,22608.702249966624,4893.984716811539,8524.494812548672
32.918,-96.752,LBJ-Central,1231.8248106752042,519.2088557984266,2690.7131008244064,350445.9652646757,3656.948312997674,5249.768505115824,43.16304849661407,1741.5080358879663,495.6058042325594,2070.2167152786565,145.81113949365127,951.8467365126113,3024.4692936277515,3608.4179921399623,196.05977314652506,773.2564117570229,1640.6996210066964,979.7422540839924,101.24839491254579,14.854460737620293,797.5185560687698,2226.9507375589815,583.9486985122112,3939.25046610101,286.7696404793608,2005.5935855583095,547.6383550364084,3971.5919844188957,1131.5357728693261,7497.4551451513325,626.7350467271488,5.324909236872579,1,63297.4819309671,105249.11265320677,14419.511156227289,21026.46142761501,6262.3373655710175,9178.663018014671,26171.758366162063,46570.080153369294,14571.135609109057,22166.320930005317,7060.157733861759,10226.185150829591,18678.125014650737,35332.424830254924,35379.137263498145,62693.378844338615,33308.94158539156,59447.012327234064,24601.051315737153,45302.77312549606,23652.33185201314,37678.02709453117,18430.323468047813,33046.36136771422,47665.50957553802,124860.98328407423,2963777.554734765,10205396.879873613,1227.359605688921,1873.2216163789617,2957.055884770486,9966.313981206626,1132.046832008926,1464.9827511865608,4514.028216977635,14598.405375135522,7511.141700995911,30774.83205436729,624.182878014661,2274.94606282196,29486.095073818622,52804.120478428245,3314.33670765656,6234.0403250589425,10395.951596092564,14342.538336182179,1925.6529560875395,3408.112333331578,6227.27004358544,9031.604798904584,10816.808346132178,25844.0245993272,1556.684206341395,3241.2076374426997,3561.7384419698296,11255.6291855481,10028.680041024645,15241.37598603901,16143.078325137414,31328.7041673303,15100.61293171313,23201.676079985144,5777.475562769255,8877.15637201458
32.909,-96.762,Forest Lane,1439.3708893642122,765.4817655934951,2733.228165365841,411720.7109572403,3701.9545447727396,6051.669821837765,49.39164750475663,1758.2778852555205,684.8818095989506,2022.7524958011466,193.18363851939765,946.5652677071614,3105.0316462653327,3682.6296937404213,204.4880337233369,820.5825699892015,1701.1082458075473,938.49331211673,164.05155331004215,15.932788623288905,857.7830227784418,2247.2486234868907,577.5980474750888,3974.0670154570216,310.9619899910422,1970.6237127345876,634.1557091566648,3809.1232493513253,1347.8499433565908,7547.786274388267,614.1451874885664,12.011933576271822,1,76274.91112811516,123395.7402044166,15908.70832402602,24008.11203662455,6969.34993612153,10400.30315085934,33278.36821493541,54704.93317507966,16608.802184738666,25262.841000120217,7763.8442566078165,11611.253457074692,24661.05361698062,41126.27680465415,44766.761303538035,73517.80295387076,42334.149292204034,69754.41693036372,31778.558233912278,53417.50658119765,27899.680604715722,44394.21287426408,23268.24061971119,38053.468039554245,57098.94301757729,169104.6365546194,3570232.726849423,14231896.994559791,1480.2009234849215,4752.145283227973,4378.313917380216,13460.446518280198,1313.897308645612,1598.81772775713,5332.451016400434,19401.0350053072,9907.862727811838,41859.12775629984,759.3529854973685,3188.4031230999226,37557.146836206266,62251.10212270361,4278.778621270857,7546.168947623953,11047.692597720717,15799.522692016157,2739.3951152967325,3922.676362401192,7144.787022252765,10330.849652629371,16484.49118816032,32000.989668170536,1970.4001078993083,4322.095924461015,7016.968588518974,13741.300384123226,11600.202630908352,17039.049316785356,21678.165584027054,37665.883858294306,17405.21972728314,26637.999964744296,6927.344014480252,10164.765792468497
32.883,-96.765,Walnut Hill,1195.0218561566476,804.6529987415545,1953.6848176025226,252434.00156797288,2648.129594310555,4083.870717183096,75.32624132081637,1248.6968189429122,191.63222942734612,1741.2925076599793,251.81500415607104,657.0115478266367,2278.9574143274335,2722.9814891479564,144.06963570535618,512.3463770767228,1264.9667993639862,795.4245762521764,125.52512144789613,34.141919536378026,587.5764756889505,1691.3809386384828,444.02407482052274,2845.8874764870666,248.92984194127766,1497.9043953522369,510.4951473112051,2931.342928456342,1147.2626082811905,5576.797969796813,297.1440639159339,24.21406891176511,1,68860.38646472168,137794.5706670975,14015.99287101054,26731.526145506767,6168.931292915596,11626.062109808083,30712.516803867034,60294.48818416306,14748.973228414341,27688.583614559397,6877.172741624877,12673.255623897197,22822.85519938526,44489.287643089476,40690.48552683894,81247.81560536589,38486.41211490686,76919.62796116417,28838.45550907818,58911.65115131834,25404.114177495972,50348.23903525939,21199.247333953608,40648.08663574098,51832.76945808143,184578.30365307248,3268496.6276793657,15386580.31620009,1432.2485243290498,5126.821309554711,4087.4239099851943,15093.079831434747,1305.3313414415786,1649.0855346239134,5004.575732356509,20740.062984912856,8960.503665753513,45438.80580719482,705.3592496268677,3690.413712803185,34874.42548813996,68642.5610010172,4161.90868427293,8348.072816854132,9260.893731404798,17523.47423131342,2631.2284143071265,4476.003429726409,6861.951614670042,11126.51438371825,16010.055429826078,35307.5720511904,1954.0609826821196,4814.811026778868,6591.299458813892,15390.361487801241,10027.524981765542,19260.07218116906,20684.99182210149,41034.416002994,15530.32724122295,30225.89608050607,6454.059040356405,10937.113871878866
32.873,-96.766,Park Lane,1717.705878244527,965.4896241534987,2399.3474931082133,325642.43934967706,3251.7113438036076,5181.830928683154,85.97744680801969,1514.8627442312945,335.4866224175753,1903.5895855794472,382.5446489459788,783.5917590513416,2778.4980004893628,3284.115227654691,169.01594271268107,712.2141945247012,1479.1616900068075,916.8875934453805,267.7015029003512,110.59917405050044,785.5648277604379,1992.933172728925,505.617227165328,3478.4508900455626,239.24665355538963,1763.47033785773,634.8905472566655,3186.683419013049,1742.790168285785,6725.757070548875,379.5632405554589,28.051420936908038,1,67677.96747540263,144039.97925782768,13222.520617707873,27854.543632894565,5735.448138408899,12094.111306875171,30977.871291831878,62756.31262527639,14083.060504030747,28670.249768382422,6459.779316740803,13098.135359702806,22886.67264439977,45822.412242755345,40853.54845187928,84603.7715069555,38689.796951580116,80036.65373562895,29192.956914734743,61305.99553305798,25306.686821003692,53488.365557120385,20706.19063228956,41609.12851730186,60470.63935122261,193390.54142856563,4359190.461761704,15934885.776773134,1381.3404166634164,6572.439513349638,5075.537932836627,15683.954957781967,1319.7671852519532,1660.7129801271324,6547.074633826293,21012.408322800395,12616.02143864513,46363.346755624654,1055.1300064730358,4002.5774736178514,35389.70344127318,71475.31585832244,4411.832149441307,8719.003233046045,8198.459543987883,18306.808776497073,2686.135014805468,4696.951042507426,6798.180142686211,11406.962059128664,17597.55546711301,36843.60481154757,2169.2676132461875,5303.648768529894,7431.580340079736,16135.500604219802,9235.242397142138,20030.780114929745,21742.628894689737,42725.532510346646,14930.373136410582,31744.29481462786,6257.922679141961,11397.436493056339
