GEO.id,ESTAB,EMP,PAYQTR1,PAYANN
8610000US00501,2,b,D,D
8610000US01001,457,9641,87217,376465
8610000US01002,571,18764,108300,454968
8610000US01003,18,267,2038,8716
8610000US01004,13,165,1179,5693
8610000US01005,94,926,8208,33497
8610000US01007,223,1864,13177,61980
8610000US01008,18,220,767,3119
8610000US01009,16,142,1330,6979
8610000US01010,75,271,3001,15323
8610000US01011,13,32,253,1219
8610000US01012,11,45,252,1112
8610000US01013,311,4331,36932,159274
8610000US01014,1,a,D,D
8610000US01020,542,8768,75616,339382
8610000US01021,9,196,1153,5784
8610000US01022,60,1931,27810,105627
8610000US01026,23,70,422,2448
8610000US01027,402,3892,34194,145229
8610000US01028,500,7114,75257,296792
8610000US01029,14,264,2249,11296
8610000US01030,202,1206,8108,40943
8610000US01031,18,59,220,1151
8610000US01032,23,100,816,4065
8610000US01033,129,731,5729,25905
8610000US01034,31,131,1206,6703
8610000US01035,300,5061,36189,153282
8610000US01036,122,849,6421,35328
8610000US01037,17,267,2404,12385
8610000US01038,68,1358,28790,78389
8610000US01039,32,222,1979,9498
8610000US01040,884,16968,174867,701665
8610000US01041,33,942,6811,30025
8610000US01050,32,236,1760,5394
8610000US01053,29,1645,27247,109488
8610000US01054,32,122,867,3867
8610000US01056,409,4179,38750,185466
8610000US01057,138,753,7166,32945
8610000US01059,10,107,910,3749
8610000US01060,767,11883,114778,494633
8610000US01061,19,111,1068,4576
8610000US01062,190,1797,16687,69820
8610000US01063,4,h,D,D
8610000US01066,9,b,D,D
8610000US01068,26,62,582,2899
8610000US01069,263,3349,33405,157676
8610000US01070,7,20,92,491
8610000US01071,20,80,364,2343
8610000US01072,19,55,204,1508
8610000US01073,123,1017,7697,35024
8610000US01074,9,69,403,2134
8610000US01075,304,4791,36462,155031
8610000US01077,216,1937,15847,75153
8610000US01079,11,72,594,2724
8610000US01080,40,351,2659,12102
8610000US01081,14,49,320,1532
8610000US01082,164,2291,21941,86693
8610000US01083,32,245,2666,11219
8610000US01084,4,22,164,982
8610000US01085,865,13404,129392,563667
8610000US01086,17,774,5729,23406
8610000US01088,28,324,2761,12049
8610000US01089,982,15984,146241,635014
8610000US01090,14,92,1247,5688
8610000US01092,18,87,478,2009
8610000US01093,32,820,9540,39677
8610000US01094,2,a,D,D
8610000US01095,299,4113,34280,149580
8610000US01096,51,400,3131,13773
8610000US01098,20,104,711,3377
8610000US01101,23,783,5570,23283
8610000US01102,19,3024,49230,199383
8610000US01103,463,6547,61853,275651
8610000US01104,515,13689,172140,800929
8610000US01105,270,6093,52228,218683
8610000US01106,279,3817,29452,134446
8610000US01107,149,2398,33174,155445
8610000US01108,270,2452,15806,69182
8610000US01109,283,7545,49053,216214
8610000US01111,11,h,D,D
8610000US01115,45,834,53544,123042
8610000US01116,4,36,174,801
8610000US01118,129,1501,11821,50913
8610000US01119,141,3895,23672,99969
8610000US01128,52,863,3975,16042
8610000US01129,162,2657,15369,63623
8610000US01138,8,19,109,778
8610000US01139,2,c,D,D
8610000US01144,47,1204,24586,96253
8610000US01151,145,1739,27255,113697
8610000US01152,2,a,D,D
8610000US01199,3,i,D,D
8610000US01201,1294,23192,275255,1158280
8610000US01202,26,378,8331,26751
8610000US01203,1,a,D,D
8610000US01220,153,1593,14347,61950
8610000US01222,15,45,334,1588
8610000US01223,38,234,1836,11793
8610000US01224,4,23,151,641
8610000US01225,54,366,3042,15383
8610000US01226,114,1257,18124,67875
8610000US01227,6,52,306,1986
8610000US01229,3,12,149,871
8610000US01230,409,5045,41095,182032
8610000US01235,46,189,1241,7413
8610000US01236,42,403,3064,14247
8610000US01237,129,1849,9400,37118
