Feat,Group,System,Station
15net_hunits_old,LSLinFS,0.9604,0.8056
15net_university,LSLinFS,0.9604,0.8056
near_hunits_large,LSLinFS,0.9604,0.8056
30net_hunits_large,LSLinFS,0.9604,0.8056
30net_emp_pay,LSLinFS,0.9604,0.8056
near_hunits_detached,LSLinFS,0.9604,0.8056
near_hospitality,LSLinFS,0.9604,0.8056
near_entertainment,LSLinFS,0.9604,0.8056
near_hunits_new,LSLinFS,0.9604,0.8056
15net_pop_child,LSLinFS,0.9604,0.8056
near_foreign_born,LSLinFS,0.9604,0.8056
near_pop_poor,LSLinFS,0.9604,0.8056
30net_entertainment,LSLogFS,1.0000,0.9407
near_house_w_child,LSLogFS,1.0000,0.9407
near_family,LSLogFS,1.0000,0.9407
near_population,LSLogFS,1.0000,0.9407
near_pop_child,LSLogFS,1.0000,0.9407
near_employment,LSLogFS,1.0000,0.9407
near_hunits_large,LSLogFS,1.0000,0.9407
near_hospitality,LSLogFS,1.0000,0.9407
15net_entertainment,LSLogFS,1.0000,0.9407
30net_university,LSLogFS,1.0000,0.9407
near_emp_pay,LSLogFS,1.0000,0.9407
15net_university,LSLogFS,1.0000,0.9407
near_finance,LSLogFS,1.0000,0.9407
near_entertainment,LSLogFS,1.0000,0.9407
parking,LSLogFS,1.0000,0.9407
near_hunits_old,LSLogFS,1.0000,0.9407
15net_hunits_old,PoissLogFS,0.9020,0.7986
30net_medical,PoissLogFS,0.9020,0.7986
near_pop_old,PoissLogFS,0.9020,0.7986
30net_hunits_large,PoissLogFS,0.9020,0.7986
30net_entertainment,PoissLogFS,0.9020,0.7986
15net_medical,PoissLogFS,0.9020,0.7986
near_university,PoissLogFS,0.9020,0.7986
near_hunits_detached,PoissLogFS,0.9020,0.7986
near_population,PoissLogFS,0.9020,0.7986
near_medical,PoissLogFS,0.9020,0.7986
15net_university,PoissLogFS,0.9020,0.7986
parking,PoissLogFS,0.9020,0.7986
near_hospitality,PoissLogFS,0.9020,0.7986
near_family,PoissLogFS,0.9020,0.7986
near_business,PoissLogFS,0.9020,0.7986
15net_hunits_old,PoissIdentFS,0.9569,0.8473
near_hospitality,PoissIdentFS,0.9569,0.8473
30net_medical,PoissIdentFS,0.9569,0.8473
near_pop_old,PoissIdentFS,0.9569,0.8473
30net_hunits_old,PoissIdentFS,0.9569,0.8473
parking,PoissIdentFS,0.9569,0.8473
near_university,PoissIdentFS,0.9569,0.8473
near_medical,PoissIdentFS,0.9569,0.8473
15net_employed,LADFS,0.9885,1.0000
near_hospitality,LADFS,0.9885,1.0000
near_hunits_owner,LADFS,0.9885,1.0000
30net_population,LADFS,0.9885,1.0000
15net_hospitality,LSLinLASSO,0.6210,0.5207
15net_hunits_attached,LSLinLASSO,0.6210,0.5207
15net_hunits_medium,LSLinLASSO,0.6210,0.5207
near_emp_pay,LSLinLASSO,0.6210,0.5207
near_hospitality,LSLinLASSO,0.6210,0.5207
30net_medical,LSLinLASSO,0.6210,0.5207
near_pop_old,LSLinLASSO,0.6210,0.5207
near_university,LSLinLASSO,0.6210,0.5207
parking,LSLinLASSO,0.6210,0.5207
near_entertainment,LSLogLASSO,0.4914,0.6148
near_hospitality,LSLogLASSO,0.4914,0.6148
parking,LSLogLASSO,0.4914,0.6148
15net_hunits_vacant,LSLogLASSO,0.4914,0.6148
30net_hospitality,LSLogLASSO,0.4914,0.6148
30net_hunits_detached,LSLogLASSO,0.4914,0.6148
30net_hunits_large,LSLogLASSO,0.4914,0.6148
near_employment,LSLogLASSO,0.4914,0.6148
near_labor_force,LSLogLASSO,0.4914,0.6148
near_university,LSLogLASSO,0.4914,0.6148
15net_hunits_attached,LSLogLASSO,0.4914,0.6148
15net_hunits_old,LSLogLASSO,0.4914,0.6148
15net_university,LSLogLASSO,0.4914,0.6148
30net_hunits_medium,LSLogLASSO,0.4914,0.6148
30net_medical,LSLogLASSO,0.4914,0.6148
near_hunits_attached,LSLogLASSO,0.4914,0.6148
near_hunits_new,LSLogLASSO,0.4914,0.6148
near_hunits_owner,LSLogLASSO,0.4914,0.6148
near_medical,LSLogLASSO,0.4914,0.6148
near_hospitality,PoissLogLASSO,0.3109,0.2974
15net_hunits_attached,PoissLogLASSO,0.3109,0.2974
near_university,PoissLogLASSO,0.3109,0.2974
parking,PoissLogLASSO,0.3109,0.2974
15net_hunits_medium,PoissLogLASSO,0.3109,0.2974
15net_hunits_vacant,PoissLogLASSO,0.3109,0.2974
30net_hospitality,PoissLogLASSO,0.3109,0.2974
near_employment,PoissLogLASSO,0.3109,0.2974
near_entertainment,PoissLogLASSO,0.3109,0.2974
near_pop_old,PoissLogLASSO,0.3109,0.2974
15net_hunits_medium,PoissIdentLASSO,0.4531,0.4925
near_hospitality,PoissIdentLASSO,0.4531,0.4925
parking,PoissIdentLASSO,0.4531,0.4925
15net_hospitality,PoissIdentLASSO,0.4531,0.4925
near_emp_pay,PoissIdentLASSO,0.4531,0.4925
near_university,PoissIdentLASSO,0.4531,0.4925
15net_hunits_attached,PoissIdentLASSO,0.4531,0.4925
30net_medical,PoissIdentLASSO,0.4531,0.4925
near_hunits_attached,PoissIdentLASSO,0.4531,0.4925
near_pop_old,PoissIdentLASSO,0.4531,0.4925
near_business,LADLASSO,0.0000,0.0000
near_emp_pay,LADLASSO,0.0000,0.0000
near_entertainment,LADLASSO,0.0000,0.0000
near_hunits_owner,LADLASSO,0.0000,0.0000
parking,LADLASSO,0.0000,0.0000
15net_bachelors,LADLASSO,0.0000,0.0000
15net_employed,LADLASSO,0.0000,0.0000
15net_hospitality,LADLASSO,0.0000,0.0000
15net_hunits_attached,LADLASSO,0.0000,0.0000
30net_hunits_large,LADLASSO,0.0000,0.0000
15net_hunits_old,LADLASSO,0.0000,0.0000
near_employment,LADLASSO,0.0000,0.0000
near_hospitality,LADLASSO,0.0000,0.0000
near_hunits_attached,LADLASSO,0.0000,0.0000
near_labor_force,LADLASSO,0.0000,0.0000
near_pop_rich,LADLASSO,0.0000,0.0000
15net_household,LADLASSO,0.0000,0.0000
15net_emp_pay,LADLASSO,0.0000,0.0000
15net_medical,LADLASSO,0.0000,0.0000
30net_medical,LADLASSO,0.0000,0.0000
30net_hunits_vacant,LADLASSO,0.0000,0.0000
15net_hunits_medium,LADLASSO,0.0000,0.0000
30net_hunits_medium,LADLASSO,0.0000,0.0000
